Sold_price,Squarefootage,Type,Style,Community,Municipality District,longitude,latitude,Bedrooms,Dens,Bathrooms,Kitchens,Rooms,Parking Total
360000,650,Condo Apartment,Apartment,Malvern,E11,-79.23731,43.7946,1,0,1,1,4,1
362800,850,Condo Apartment,Apartment,Elms-Old Rexdale,W10,-79.544159,43.721149,2,0,1,1,5,1
469888,750,Condo Apartment,Apartment,Tam O'Shanter-Sullivan,E05,-79.305274,43.780576,1,1,1,1,5,1
373000,750,Condo Apartment,Apartment,Crescent Town,E03,-79.292923,43.696136,1,0,1,1,4,0
365000,750,Condo Apartment,Apartment,Crescent Town,E03,-79.292923,43.696136,1,0,1,1,4,1
368600,850,Condo Apartment,Apartment,Humbermede,W05,-79.542764,43.749102,2,0,1,1,5,1
370500,850,Condo Apartment,Apartment,Elms-Old Rexdale,W10,-79.543994,43.722001,2,0,1,1,5,1
385000,250,Condo Apartment,Apartment,Keelesdale-Eglinton West,W03,-79.471659,43.681593,0,0,1,1,4,1
397500,750,Condo Apartment,Stacked Townhouse,Malvern,E11,-79.230541,43.803591,1,0,1,1,3,1
410000,550,Condo Apartment,Apartment,Eglinton East,E08,-79.238432,43.737576,1,1,1,1,4,1
375000,750,Condo Apartment,Apartment,Crescent Town,E03,-79.294161,43.696417,1,0,1,1,4,1
368000,850,Condo Apartment,Apartment,Yorkdale-Glen Park,W04,-79.46549,43.706438,3,0,1,1,5,1
386000,750,Condo Apartment,Apartment,Crescent Town,E03,-79.292923,43.696136,1,0,1,1,4,1
390000,850,Condo Apartment,Apartment,Elms-Old Rexdale,W10,-79.543994,43.722001,2,0,1,1,5,1
400000,850,Condo Apartment,Apartment,Malvern,E11,-79.217109,43.806699,2,0,1,1,5,2
510000,1100,Condo Apartment,Apartment,Westminster-Branson,C07,-79.448136,43.780308,2,0,1,1,8,1
379900,850,Condo Apartment,Apartment,Malvern,E11,-79.217109,43.806699,2,0,1,1,5,1
380900,850,Condo Apartment,Apartment,Elms-Old Rexdale,W10,-79.543994,43.722001,2,0,1,1,5,1
382000,850,Condo Apartment,Apartment,Humbermede,W05,-79.542764,43.749102,2,0,1,1,6,1
422000,250,Condo Apartment,Apartment,Annex,C02,-79.38884,43.674053,0,0,1,1,4,0
452000,550,Condo Townhouse,Stacked Townhouse,Malvern,E11,-79.237712,43.79288,1,0,1,1,4,1
370000,1100,Condo Apartment,Apartment,Yorkdale-Glen Park,W04,-79.465795,43.707282,3,1,1,1,6,1
373000,650,Condo Apartment,Apartment,Flemingdon Park,C11,-79.4163,43.70011,1,0,1,1,4,1
415000,1100,Condo Townhouse,Apartment,Rexdale-Kipling,W10,-79.556567,43.714205,2,0,2,1,7,1
375000,750,Condo Apartment,Apartment,Yorkdale-Glen Park,W04,-79.4163,43.70011,4,0,1,1,6,1
375000,950,Condo Apartment,Apartment,Yorkdale-Glen Park,W04,-79.4163,43.70011,3,0,1,1,6,1
385000,250,Condo Apartment,Bachelor/Studio,Downsview-Roding-CFB,W05,-79.482723,43.728646,0,0,1,1,1,1
405000,250,Condo Apartment,Apartment,Henry Farm,C15,-79.33699,43.774819,0,0,1,1,0,0
450000,850,Condo Townhouse,Apartment,Eglinton East,E08,-79.234805,43.740723,1,1,1,1,5,1
453000,850,Condo Apartment,Apartment,Malvern,E11,-79.231094,43.795766,1,1,1,1,5,1
460000,250,Condo Apartment,Bachelor/Studio,Mount Pleasant East,C10,-79.394045,43.708821,0,0,1,1,3,0
490000,1100,Condo Apartment,Apartment,Malvern,E11,-79.226944,43.810909,2,1,2,1,6,1
380000,1100,Condo Apartment,Apartment,Glenfield-Jane Heights,W05,,,2,0,1,1,5,1
380000,250,Condo Apartment,Apartment,Niagara,C01,-79.39893,43.635561,0,0,1,1,1,0
385000,550,Condo Apartment,Apartment,Islington-City Centre West,W08,-79.539485,43.634842,1,0,1,1,5,1
413888,750,Condo Apartment,Apartment,Weston,W04,-79.514491,43.698313,1,1,1,1,5,1
450000,650,Condo Apartment,Apartment,Forest Hill North,C04,-79.427302,43.707288,1,0,1,1,4,1
385000,950,Condo Apartment,Apartment,Kingsview Village-The Westway,W09,-79.556727,43.695162,2,0,1,1,6,1
388888,750,Condo Apartment,Apartment,Rouge E11,E11,-79.169322,43.802085,1,0,1,1,4,1
389900,550,Condo Apartment,Apartment,Maple Leaf,W04,-79.480313,43.707879,1,0,1,1,3,0
415000,250,Condo Apartment,Apartment,Regent Park,C08,-79.361537,43.65969,0,0,1,1,2,0
420000,250,Condo Apartment,3-Storey,The Beaches,E02,-79.305064,43.667515,0,0,1,1,1,1
485000,250,Condo Apartment,Apartment,Newtonbrook East,C14,-79.4143,43.781699,1,0,1,1,4,1
387500,850,Condo Apartment,Apartment,Elms-Old Rexdale,W10,-79.544159,43.721149,2,0,1,1,5,1
395000,750,Condo Apartment,Apartment,Mimico,W06,-79.476223,43.630242,1,1,1,1,5,1
410000,250,Condo Apartment,Bachelor/Studio,Cabbagetown-South St. James Town,C08,-79.3755,43.664209,0,0,1,1,3,0
430000,950,Condo Apartment,Apartment,Dorset Park,E04,-79.287143,43.77027,2,0,1,1,5,1
397000,850,Condo Apartment,Apartment,Humbermede,W05,-79.542764,43.749102,2,0,1,1,6,1
451000,1300,Condo Apartment,Apartment,Kingsview Village-The Westway,W09,-79.556139,43.695894,3,0,2,1,6,1
391000,1300,Condo Townhouse,3-Storey,Glenfield-Jane Heights,W05,-79.515943,43.749223,4,0,2,1,8,1
420000,850,Condo Apartment,Apartment,Henry Farm,C15,-79.345405,43.769948,1,0,1,1,5,1
383000,250,Condo Apartment,Apartment,New Toronto,W06,-79.510395,43.601591,1,0,1,1,3,1
390000,650,Condo Apartment,Apartment,Flemingdon Park,C11,-79.333335,43.711432,1,0,1,1,4,1
399000,650,Condo Apartment,Apartment,Flemingdon Park,C11,-79.334332,43.711701,1,0,1,1,4,1
420000,850,Condo Apartment,Apartment,Englemount-Lawrence,C04,-79.429744,43.716874,1,1,1,1,5,1
420000,1100,Condo Apartment,Apartment,Elms-Old Rexdale,W10,-79.543994,43.722001,3,0,2,1,6,1
423000,250,Condo Apartment,Bachelor/Studio,Willowdale East,C14,,,1,0,1,1,4,1
425000,1300,Condo Apartment,Apartment,Elms-Old Rexdale,W10,-79.543994,43.722001,3,0,2,1,5,1
435000,250,Condo Apartment,Apartment,Waterfront Communities C1,C01,-79.406626,43.636548,0,0,1,1,2,0
440000,650,Condo Apartment,Apartment,Weston,W04,-79.534741,43.708059,1,1,1,1,5,1
440000,250,Condo Apartment,Apartment,Niagara,C01,-79.406626,43.636548,0,0,1,1,3,0
443000,950,Condo Apartment,Apartment,L'Amoreaux,E05,-79.305238,43.800779,1,1,1,1,5,1
445000,850,Condo Apartment,Apartment,Steeles,E05,-79.326457,43.814671,1,1,1,1,4,1
445000,750,Condo Apartment,Apartment,Briar Hill-Belgravia,W04,-79.439889,43.704836,1,0,1,1,4,1
450000,650,Condo Apartment,Apartment,Agincourt North,E07,-79.255685,43.809792,1,1,1,1,5,1
450000,950,Condo Apartment,Apartment,Morningside,E09,-79.197703,43.785951,1,1,2,1,5,2
460000,750,Condo Apartment,Apartment,Milliken,E07,-79.274481,43.824796,1,1,1,1,5,1
462000,650,Condo Apartment,Apartment,Westminster-Branson,C07,-79.44549,43.780298,1,0,1,1,4,1
465000,750,Condo Apartment,Apartment,Kennedy Park,E04,-79.251672,43.724299,1,1,1,1,5,1
465000,550,Condo Apartment,Apartment,Agincourt South-Malvern West,E07,-79.280751,43.777872,1,0,1,1,4,1
466000,250,Condo Apartment,Apartment,Moss Park,C08,-79.366632,43.652675,0,0,1,1,3,0
468000,250,Condo Apartment,Loft,Little Portugal,C01,-79.424663,43.641695,1,0,1,1,5,0
470000,250,Condo Apartment,Apartment,Church-Yonge Corridor,C08,-79.376273,43.648659,0,0,1,1,1,0
470000,250,Condo Apartment,Apartment,University,C01,-79.410785,43.664523,0,0,1,1,1,0
471000,250,Condo Apartment,Apartment,Waterfront Communities C1,C01,-79.379648,43.641982,0,0,1,1,3,0
475000,650,Condo Townhouse,Stacked Townhouse,Bendale,E09,-79.261705,43.772621,1,0,1,1,4,1
475000,250,Condo Apartment,Bachelor/Studio,Mimico,W06,-79.46617,43.66328,0,0,1,1,1,1
475000,650,Condo Apartment,Apartment,Keelesdale-Eglinton West,W03,-79.471659,43.681593,1,0,1,1,5,1
475000,1100,Condo Apartment,Apartment,L'Amoreaux,E05,-79.311717,43.79556,3,0,2,1,7,1
475000,250,Condo Apartment,Apartment,Waterfront Communities C1,C01,-79.38204,43.641628,0,0,1,1,3,0
481000,850,Condo Apartment,Apartment,Kennedy Park,E04,-79.252343,43.723364,2,0,1,1,5,1
